id,name,email,gender,signup_date,last_login_date,last_login_time,point
1,Murry Caldron,mcaldron0@drupal.org,남,8/3/2019,5/6/2020,5:47 PM,832454.21
2,Kenn Shovelin,kshovelin1@economist.com,남,12/1/2019,2/4/2020,12:10 PM,465175.82
4,Baxie Dupoy,bdupoy3@i2i.jp,남,10/23/2019,1/21/2020,8:35 AM,988514.69
5,Regen Oxby,roxby4@instagram.com,남,12/16/2019,2/15/2020,7:35 PM,87008.22
6,Derrik Hainey`,dhainey5@usa.gov,남,12/25/2019,1/14/2020,8:49 AM,294530.12
8,Truman Flarity,tflarity7@gizmodo.com,남,11/24/2019,3/20/2020,11:29 AM,705962.13
10,North Taft,ntaft9@lulu.com,남,8/31/2019,1/3/2020,3:41 PM,214288.23
11,Flynn Brugden,fbrugdena@yellowbook.com,남,7/8/2019,2/12/2020,9:53 PM,804681.71
12,Wendall Scolland,wscollandb@techcrunch.com,남,8/12/2019,3/28/2020,2:59 PM,268507.49
19,Bruis Schott,bschotti@behance.net,남,12/8/2019,1/12/2020,5:50 PM,824199.97
20,Dukie Schruur,dschruurj@addthis.com,남,8/28/2019,4/27/2020,9:02 AM,500388.93
22,Silvan Verty,svertyl@nymag.com,남,7/17/2019,5/9/2020,5:10 PM,759651.01
25,Markos Kelle,mkelleo@freewebs.com,남,10/12/2019,3/3/2020,1:01 PM,909323.19
26,Bryce Enrdigo,benrdigop@scientificamerican.com,남,11/1/2019,2/2/2020,3:45 PM,428088.87
27,Leonardo Kenworthey,lkenwortheyq@people.com.cn,남,7/13/2019,3/6/2020,1:48 PM,195622.71
32,Rick Echallie,rechalliev@qq.com,남,12/2/2019,1/10/2020,2:18 PM,389981.57
34,Rance Keuntje,rkeuntjex@amazon.de,남,8/6/2019,3/27/2020,10:56 AM,991811.91
35,Bail Hoolaghan,bhoolaghany@wordpress.com,남,7/17/2019,4/20/2020,6:32 AM,220489.77
36,Linoel Savatier,lsavatierz@scribd.com,남,12/17/2019,4/21/2020,9:17 AM,785270.58
37,Hymie Hairsnape,hhairsnape10@google.pl,남,7/20/2019,4/15/2020,8:22 AM,922158.37
39,Carmine Catonne,ccatonne12@sciencedaily.com,남,8/18/2019,1/8/2020,9:35 PM,444076.23
43,D'arcy Strelitzki,dstrelitzki16@is.gd,남,6/4/2019,3/15/2020,10:54 AM,855503.23
47,Ambros MacDirmid,amacdirmid1a@irs.gov,남,10/3/2019,4/28/2020,8:20 AM,660218.54
49,Steward Grunnell,sgrunnell1c@sohu.com,남,6/3/2019,2/10/2020,5:49 AM,961473.63
51,Tabb Klimuk,tklimuk1e@squarespace.com,남,9/22/2019,4/17/2020,12:56 AM,83628.79
53,Bancroft Legerton,blegerton1g@sciencedaily.com,남,8/8/2019,4/6/2020,4:35 AM,570760.45
56,Niles Youthed,nyouthed1j@unc.edu,남,7/1/2019,3/25/2020,5:30 PM,386859.60
57,Sauveur Christmas,schristmas1k@booking.com,남,6/15/2019,4/21/2020,3:53 PM,709799.52
58,Keen Coe,kcoe1l@xing.com,남,12/23/2019,2/25/2020,6:10 PM,404336.69
59,Seward Mozzetti,smozzetti1m@marriott.com,남,8/26/2019,4/14/2020,4:37 AM,820436.99
60,Parry Spadotto,pspadotto1n@ucsd.edu,남,5/13/2019,3/1/2020,10:42 AM,54771.91
61,Sid Aldred,saldred1o@home.pl,남,9/11/2019,1/20/2020,9:43 PM,297121.26
62,Harold Kensett,hkensett1p@ibm.com,남,6/1/2019,1/27/2020,10:53 PM,742125.28
64,Aloysius Mordin,amordin1r@so-net.ne.jp,남,11/13/2019,4/7/2020,4:48 AM,686299.02
68,Clayborn Scopham,cscopham1v@slashdot.org,남,11/1/2019,2/15/2020,7:04 PM,561700.94
69,Hamish Storah,hstorah1w@rediff.com,남,5/3/2019,4/11/2020,8:27 AM,273195.34
71,Christie Aggett,caggett1y@bbb.org,남,7/16/2019,4/16/2020,8:41 PM,929371.97
74,Amby Voak,avoak21@unesco.org,남,8/8/2019,2/29/2020,5:38 AM,104818.23
75,Gonzales Aloigi,galoigi22@java.com,남,6/11/2019,1/26/2020,4:46 PM,847757.33
76,Erastus Cocksedge,ecocksedge23@phoca.cz,남,9/21/2019,1/9/2020,3:32 PM,50508.95
77,Peyton Grafton,pgrafton24@furl.net,남,11/21/2019,2/6/2020,5:18 PM,876585.04
79,Isacco Lester,ilester26@yahoo.com,남,8/4/2019,3/12/2020,6:16 PM,177198.43
80,Augusto Cranney,acranney27@myspace.com,남,10/23/2019,5/11/2020,3:49 PM,457874.01
