id,name,email,gender,signup_date,last_login_date,last_login_time,point
3,Nettle Hearne,nhearne2@mozilla.com,여,5/27/2019,5/2/2020,4:36 AM,503492.35
41,Tiffi Di Lucia,tdilucia14@example.com,여,7/20/2019,1/2/2020,5:12 AM,294630.01
46,Loralee Huckster,lhuckster19@google.es,여,10/11/2019,3/7/2020,1:23 AM,172141.91
49,Steward Grunnell,sgrunnell1c@sohu.com,남,6/3/2019,2/10/2020,5:49 AM,961473.63
53,Bancroft Legerton,blegerton1g@sciencedaily.com,남,8/8/2019,4/6/2020,4:35 AM,570760.45
54,Ingeborg Couper,icouper1h@issuu.com,여,5/18/2019,5/7/2020,5:15 AM,32574.11
55,Randa McCague,rmccague1i@adobe.com,여,9/14/2019,3/10/2020,3:25 AM,510330.36
59,Seward Mozzetti,smozzetti1m@marriott.com,남,8/26/2019,4/14/2020,4:37 AM,820436.99
64,Aloysius Mordin,amordin1r@so-net.ne.jp,남,11/13/2019,4/7/2020,4:48 AM,686299.02
74,Amby Voak,avoak21@unesco.org,남,8/8/2019,2/29/2020,5:38 AM,104818.23
78,Luz Foy,lfoy25@pen.io,여,10/14/2019,3/17/2020,5:46 AM,219000.50
83,Gregory Mattimoe,gmattimoe2a@smugmug.com,남,12/27/2019,4/27/2020,4:19 AM,582915.74
84,Nance Armit,narmit2b@state.gov,여,7/16/2019,2/20/2020,3:26 AM,349570.64
85,Elizabet Stacy,estacy2c@chronoengine.com,여,12/30/2019,1/29/2020,2:22 AM,261459.24
88,Madeleine Lackie,mlackie2f@salon.com,여,11/12/2019,5/1/2020,5:07 AM,661189.64
98,Cassie Quiddinton,cquiddinton2p@simplemachines.org,여,12/17/2019,1/30/2020,3:03 AM,207638.83
99,Rosamond Seville,rseville2q@alibaba.com,여,7/26/2019,3/7/2020,3:35 AM,211147.83
100,Roby Pindar,rpindar2r@wikispaces.com,여,11/20/2019,2/17/2020,1:39 AM,739543.76
102,Orlando Wardesworth,owardesworth2t@foxnews.com,남,5/14/2019,4/20/2020,2:51 AM,169382.28
105,Briano Lasseter,blasseter2w@histats.com,남,8/30/2019,5/11/2020,4:20 AM,945472.11
123,Orv Germaine,ogermaine3e@symantec.com,남,10/31/2019,2/18/2020,1:26 AM,761945.28
131,Christopher Vearnals,cvearnals3m@redcross.org,남,6/26/2019,3/26/2020,4:48 AM,849801.00
133,Leonanie Revel,lrevel3o@skyrock.com,여,10/15/2019,4/12/2020,5:58 AM,232098.97
138,Dominga Huckle,dhuckle3t@mac.com,여,8/21/2019,2/9/2020,5:28 AM,302016.70
141,Myles Pidler,mpidler3w@prlog.org,남,12/14/2019,4/5/2020,1:27 AM,643427.91
144,Isidora Balm,ibalm3z@omniture.com,여,8/3/2019,1/15/2020,5:45 AM,729244.94
147,Colet Meni,cmeni42@samsung.com,남,12/8/2019,2/2/2020,4:19 AM,743290.50
148,Joachim Keslake,jkeslake43@reuters.com,남,7/13/2019,2/19/2020,2:02 AM,360677.93
150,Karlotte Murkitt,kmurkitt45@blogs.com,여,8/8/2019,1/28/2020,3:10 AM,769729.80
151,Thomasine Van't Hoff,tvanthoff46@auda.org.au,여,11/19/2019,3/18/2020,1:49 AM,752825.40
153,Lorne Alishoner,lalishoner48@google.cn,여,6/15/2019,4/17/2020,5:43 AM,439807.62
163,Kellen Mompesson,kmompesson4i@hatena.ne.jp,여,12/25/2019,2/27/2020,4:49 AM,70199.68
167,Ignacius Meineck,imeineck4m@biglobe.ne.jp,남,12/25/2019,3/4/2020,1:04 AM,276539.25
168,Reggie Buchan,rbuchan4n@state.gov,남,9/19/2019,4/2/2020,2:04 AM,475785.03
169,Zilvia Teece,zteece4o@buzzfeed.com,여,10/6/2019,1/22/2020,2:44 AM,329666.50
170,Natty Losano,nlosano4p@over-blog.com,남,10/11/2019,5/11/2020,2:45 AM,629614.33
173,Cleopatra Whymark,cwhymark4s@unblog.fr,여,10/14/2019,3/1/2020,4:20 AM,758223.23
174,Laird Adenot,ladenot4t@flickr.com,남,7/26/2019,5/8/2020,3:14 AM,491205.10
