id,name,email,gender,signup_date,last_login_date,last_login_time,point
60,Parry Spadotto,pspadotto1n@ucsd.edu,남,5/13/2019,3/1/2020,10:42 AM,54771.91
122,Nettie Busek,nbusek3d@taobao.com,여,11/13/2019,3/1/2020,6:05 AM,624245.81
173,Cleopatra Whymark,cwhymark4s@unblog.fr,여,10/14/2019,3/1/2020,4:20 AM,758223.23
445,Rosco Aim,raimcc@myspace.com,남,8/7/2019,3/1/2020,3:06 PM,248751.86
491,Ambros Baldick,abaldickdm@theguardian.com,남,12/12/2019,3/1/2020,6:46 PM,661176.90
593,Kristy Petigrew,kpetigrewgg@npr.org,여,10/22/2019,3/1/2020,4:25 AM,3171.03
742,Rebe Chorley,rchorleykl@facebook.com,여,9/25/2019,3/1/2020,9:27 AM,709648.68
838,Gipsy Bramley,gbramleyn9@chronoengine.com,여,9/26/2019,3/1/2020,4:59 PM,516214.09
883,Carlo Dutson,cdutsonoi@godaddy.com,남,5/14/2019,3/1/2020,5:49 PM,864744.11
368,Matthus Stobbs,mstobbsa7@clickbank.net,남,9/9/2019,3/2/2020,7:07 PM,206589.89
424,Edd Maddie,emaddiebr@quantcast.com,남,7/29/2019,3/2/2020,8:39 AM,28302.24
538,Ray Ambroix,rambroixex@google.pl,여,12/11/2019,3/2/2020,7:01 PM,526747.84
670,Carmina Sprouls,csproulsil@netvibes.com,여,9/13/2019,3/2/2020,1:47 AM,219987.21
754,Courtnay Raftery,crafterykx@youku.com,여,11/5/2019,3/2/2020,8:46 PM,275363.88
817,Haskell Richel,hrichelmo@biblegateway.com,남,8/20/2019,3/2/2020,5:16 AM,707353.62
867,Kora Saenz,ksaenzo2@state.gov,여,6/22/2019,3/2/2020,4:59 AM,259109.49
25,Markos Kelle,mkelleo@freewebs.com,남,10/12/2019,3/3/2020,1:01 PM,909323.19
143,Regen Scuse,rscuse3y@goodreads.com,남,10/10/2019,3/3/2020,9:44 AM,390230.72
241,Dannie Meech,dmeech6o@myspace.com,남,10/18/2019,3/3/2020,9:00 AM,978051.99
347,Kyle Maureen,kmaureen9m@jiathis.com,남,10/28/2019,3/3/2020,1:03 AM,907494.13
374,Eugenia Gamett,egamettad@mapquest.com,여,5/16/2019,3/3/2020,4:23 PM,968084.70
430,Salvatore Teodorski,steodorskibx@usa.gov,남,9/2/2019,3/3/2020,6:08 PM,51956.81
600,Aigneis Gillis,agillisgn@pagesperso-orange.fr,여,7/9/2019,3/3/2020,11:40 AM,839044.39
894,Melisse Pidgeon,mpidgeonot@oakley.com,여,12/12/2019,3/3/2020,2:30 AM,73920.46
1000,Sonja Bluett,sbluettrr@goo.gl,여,12/20/2019,3/3/2020,12:40 PM,49901.19
167,Ignacius Meineck,imeineck4m@biglobe.ne.jp,남,12/25/2019,3/4/2020,1:04 AM,276539.25
589,Siouxie Golda,sgoldagc@goo.gl,여,12/28/2019,3/4/2020,2:46 AM,644391.41
837,Queenie Duester,qduestern8@shinystat.com,여,6/24/2019,3/4/2020,3:24 PM,963593.66
862,Bellanca Warret,bwarretnx@salon.com,여,11/30/2019,3/4/2020,5:15 AM,155466.73
95,Bart Watkiss,bwatkiss2m@behance.net,남,5/31/2019,3/5/2020,1:19 PM,489795.65
330,Carleton Cromblehome,ccromblehome95@bluehost.com,남,9/11/2019,3/5/2020,2:02 PM,955546.87
776,Worth Gettens,wgettenslj@disqus.com,남,7/22/2019,3/5/2020,1:15 PM,498510.69
782,Gabe Gotmann,ggotmannlp@xing.com,남,5/25/2019,3/5/2020,6:59 PM,348523.04
27,Leonardo Kenworthey,lkenwortheyq@people.com.cn,남,7/13/2019,3/6/2020,1:48 PM,195622.71
48,Marilyn Mohammad,mmohammad1b@ftc.gov,여,12/28/2019,3/6/2020,3:12 PM,428447.14
179,Carver Drover,cdrover4y@cbc.ca,남,10/4/2019,3/6/2020,6:43 PM,223820.62
341,Lief Treagust,ltreagust9g@berkeley.edu,남,10/22/2019,3/6/2020,9:10 PM,886062.33
401,Lockwood Pawels,lpawelsb4@pagesperso-orange.fr,남,7/30/2019,3/6/2020,6:42 PM,64155.79
446,Rosalia Allicock,rallicockcd@google.com,여,5/29/2019,3/6/2020,1:52 AM,811341.63
750,Shae Eyer,seyerkt@unesco.org,남,11/13/2019,3/6/2020,5:32 PM,589979.33
46,Loralee Huckster,lhuckster19@google.es,여,10/11/2019,3/7/2020,1:23 AM,172141.91
